name,code
N普利,|300630
N欧派,|603833
N圣龙,|603178
新赛股份,|600540
快意电梯,|002774
雪峰科技,|603227
碳元科技,|603133
元成股份,|603388
山东矿机,|002526
常青股份,|603768
久吾高科,|300631
三丰智能,|300276
天域生态,|603717
博士眼镜,|300622
三晖电气,|002857
诚意药业,|603811
至正股份,|603991
飞凯材料,|300398
捷荣技术,|002855
海量数据,|603138
光库科技,|300620
新坐标,|603040
捷捷微电,|300623
东方中科,|002819
大千生态,|603955
泰禾光电,|603656
天华院,|600579
华瑞股份,|300626
力盛赛车,|002858
同兴达,|002845
中油资本,|000617
皮阿诺,|002853
亿联网络,|300628
克来机电,|603960
寒锐钴业,|300618
新劲刚,|300629
三雄极光,|300625
维业股份,|300621
中成股份,|000151
绝味食品,|603517
东旭光电,|000413
中材国际,|600970
新泉股份,|603179
华测导航,|300627
美芝股份,|002856
华昌化工,|002274
中持股份,|603903
林海股份,|600099
西藏城投,|600773
麦格米特,|002851
新日恒力,|600165
昆百大Ａ,|000560
清源股份,|603628
旷达科技,|002516
瑞泰科技,|002066
赣锋锂业,|002460
南大光电,|300346
江阴银行,|002807
新疆浩源,|002700
宏大爆破,|002683
国际实业,|000159
光洋股份,|002708
壹桥股份,|002447
富春环保,|002479
龙溪股份,|600592
江中药业,|600750
冠农股份,|600251
利君股份,|002651
国投中鲁,|600962
中钢国际,|000928
国光股份,|002749
中环装备,|300140
连云港,|601008
*ST八钢,|600581
西藏发展,|000752
*ST京城,|600860
环球印务,|002799
美年健康,|002044
丰元股份,|002805
新农开发,|600359
苏州高新,|600736
北部湾旅,|603869
齐星铁塔,|002359
利亚德,|300296
天润乳业,|600419
兆易创新,|603986
华峰超纤,|300180
西藏矿业,|000762
新疆天业,|600075
友阿股份,|002277
太空板业,|300344
江南水务,|601199
金力泰,|300225
三峡水利,|600116
三维丝,|300056
苏试试验,|300416
准油股份,|002207
杭州解百,|600814
*ST天仪,|000710
洪汇新材,|002802
华东医药,|000963
凯盛科技,|600552
新研股份,|300159
开元仪器,|300338
杭电股份,|603618
山东墨龙,|002490
中远海特,|600428
上海新阳,|300236
中材节能,|603126
北方华创,|002371
耐威科技,|300456
云意电气,|300304
浙江永强,|002489
宁波富邦,|600768
帝王洁具,|002798
实达集团,|600734
创业软件,|300451
力合股份,|000532
西部资源,|600139
赛轮金宇,|601058
融捷股份,|002192
会畅通讯,|300578
洛阳玻璃,|600876
协鑫集成,|002506
建设机械,|600984
襄阳轴承,|000678
深华发Ａ,|000020
科森科技,|603626
新纶科技,|002341
中远海控,|601919
万丰奥威,|002085
上海天洋,|603330
顺络电子,|002138
万泽股份,|000534
中色股份,|000758
利达光电,|002189
天海防务,|300008
北纬通信,|002148
英特集团,|000411
普邦股份,|002663
华伍股份,|300095
金固股份,|002488
新洋丰,|000902
东莞控股,|000828
山推股份,|000680
恒力股份,|600346
华资实业,|600191
天富能源,|600509
万 家 乐,|000533
南洋科技,|002389
冠昊生物,|300238
天齐锂业,|002466
新兴铸管,|000778
江淮汽车,|600418
思源电气,|002028
蓝黛传动,|002765
邦讯技术,|300312
茂业商业,|600828
中科云网,|002306
三变科技,|002112
中国海诚,|002116
美 欣 达,|002034
睿康股份,|002692
诚益通,|300430
云海金属,|002182
潍柴重机,|000880
西藏旅游,|600749
福达股份,|603166
国发股份,|600538
升达林业,|002259
浙报传媒,|600633
海天味业,|603288
汉钟精机,|002158
珠江钢琴,|002678
中坚科技,|002779
荣华实业,|600311
博闻科技,|600883
ST明科,|600091
康斯特,|300445
康欣新材,|600076
安通控股,|600179
大亚圣象,|000910
瑞康医药,|002589
灵康药业,|603669
中昌数据,|600242
永鼎股份,|600105
皖通高速,|600012
好莱客,|603898
华锋股份,|002806
多氟多,|002407
西藏珠峰,|600338
海鸥卫浴,|002084
华夏幸福,|600340
爱司凯,|300521
巨力索具,|002342
丽江旅游,|002033
花园生物,|300401
京汉股份,|000615
联得装备,|300545
联创光电,|600363
齐峰新材,|002521
宁波联合,|600051
耀皮玻璃,|600819
乐凯新材,|300446
健康元,|600380
西藏天路,|600326
文科园林,|002775
中原证券,|601375
久联发展,|002037
科恒股份,|300340
京东方Ａ,|000725
凯美特气,|002549
四通股份,|603838
信维通信,|300136
雅化集团,|002497
精艺股份,|002295
辅仁药业,|600781
民盛金科,|002647
福耀玻璃,|600660
辰安科技,|300523
宝通科技,|300031
国轩高科,|002074
