name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
宏图高科,11.98,11.99,11.64,12.06,11.5,11.64,11.65,9482251,111381668.0,31,11.64,319,11.63,5,11.62,169,11.61,257,11.6,147,11.65,126,11.66,140,11.67,42,11.68,149,11.7,2017-04-20,13:51:03,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.7,11.72,10481106,123013831.0,16,11.7,157,11.69,37,11.68,10,11.67,135,11.66,23,11.72,126,11.73,119,11.74,98,11.75,76,11.76,2017-04-20,14:18:40,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.7,11.72,10481106,123013831.0,26,11.7,157,11.69,37,11.68,10,11.67,135,11.66,23,11.72,106,11.73,119,11.74,98,11.75,76,11.76,2017-04-20,14:18:52,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.7,11.72,10481106,123013831.0,26,11.7,157,11.69,37,11.68,10,11.67,135,11.66,20,11.72,106,11.73,119,11.74,98,11.75,76,11.76,2017-04-20,14:18:58,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.7,11.72,10481106,123013831.0,46,11.7,157,11.69,37,11.68,10,11.67,135,11.66,32,11.72,106,11.73,119,11.74,88,11.75,76,11.76,2017-04-20,14:19:07,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.7,11.72,10481106,123013831.0,46,11.7,162,11.69,37,11.68,10,11.67,135,11.66,132,11.72,106,11.73,119,11.74,88,11.75,76,11.76,2017-04-20,14:19:10,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.72,11.73,10494306,123168535.0,178,11.72,46,11.7,162,11.69,37,11.68,10,11.67,106,11.73,110,11.74,88,11.75,76,11.76,6,11.77,2017-04-20,14:19:13,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.72,11.73,10496306,123191975.0,158,11.72,71,11.7,162,11.69,37,11.68,10,11.67,106,11.73,110,11.74,88,11.75,76,11.76,6,11.77,2017-04-20,14:19:16,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.72,11.73,10501306,123250575.0,108,11.72,71,11.7,162,11.69,37,11.68,10,11.67,106,11.73,110,11.74,88,11.75,76,11.76,6,11.77,2017-04-20,14:19:19,600122
宏图高科,11.98,11.99,11.72,12.06,11.5,11.7,11.72,10512106,123377151.0,71,11.7,162,11.69,37,11.68,10,11.67,135,11.66,22,11.72,106,11.73,110,11.74,88,11.75,76,11.76,2017-04-20,14:19:22,600122
